index,AADT_VN,BEGIN_POIN,COUNTY_COD,END_POINT,IRI_VN,IS_IMPROVED,ROUTE_ID,SPEED_LIMI,THROUGH_LA,YEAR_RECOR,curval,geometry_paths,tmiles,tons,value
30,48670,5.6,97,5.7,61,1,IN0000100000,70.0,4,2016,176,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",17,783,311
31,49080,5.6,97,5.7,32,0,IN0000100000,70.0,4,2017,205,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",17,771,314
32,51136,5.6,97,5.7,38,1,IN0000100000,70.0,4,2018,242,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",17,792,323
33,50673,5.6,97,5.7,36,0,IN0000100000,70.0,4,2019,420,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",20,1070,390
34,45043,5.6,97,5.7,48,0,IN0000100000,68.6411149825784,4,2020,240,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",16,816,280
35,50787,5.6,97,5.7,30,0,IN0000100000,65.0,4,2022,566,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",17,914,321
36,44290,5.7,97,5.8,54,0,IN0000100000,60.0,4,2013,263,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",15,716,270
37,44750,5.7,97,5.8,54,0,IN0000100000,60.0,4,2014,268,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",16,750,286
38,45760,5.7,97,5.8,67,1,IN0000100000,60.0,4,2015,192,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",17,778,292
39,48670,5.7,97,5.8,52,1,IN0000100000,70.0,4,2016,176,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",17,783,311
40,49080,5.7,97,5.8,40,1,IN0000100000,70.0,4,2017,205,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",17,771,314
41,51136,5.7,97,5.8,37,0,IN0000100000,70.0,4,2018,242,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",17,792,323
42,50673,5.7,97,5.8,37,0,IN0000100000,70.0,4,2019,420,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",20,1070,390
43,45043,5.7,97,5.8,46,0,IN0000100000,68.6411149825784,4,2020,240,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",16,816,280
